step,total_loss,sigreg_proxy_loss,pred_loss,learning_rate,grad_norm_post
1,4.911674e-01,4.904858e-01,6.816552e-04,3.000000e-07,1.717417e-01
101,4.898692e-01,4.892167e-01,6.524965e-04,3.030000e-05,1.843055e-01
201,4.855131e-01,4.849541e-01,5.589976e-04,6.030000e-05,2.219071e-01
301,4.773847e-01,4.768939e-01,4.907398e-04,9.030000e-05,2.783234e-01
401,4.626579e-01,4.622777e-01,3.801541e-04,1.203000e-04,3.603438e-01
501,4.365265e-01,4.362902e-01,2.362887e-04,1.503000e-04,4.710096e-01
601,4.000872e-01,4.000059e-01,8.129090e-05,1.803000e-04,5.842213e-01
701,3.438888e-01,3.438776e-01,1.126134e-05,2.103000e-04,7.087961e-01
801,2.708232e-01,2.708222e-01,1.048156e-06,2.403000e-04,7.973593e-01
901,1.784263e-01,1.784253e-01,1.002967e-06,2.703000e-04,8.176563e-01
1001,7.863389e-02,7.863233e-02,1.555665e-06,3.000000e-04,6.827060e-01
1101,1.501309e-02,1.500625e-02,6.835903e-06,2.999970e-04,3.525831e-01
1201,3.905579e-04,3.864428e-04,4.115155e-06,2.999880e-04,2.628891e-02
1301,2.058348e-04,2.039465e-04,1.888254e-06,2.999730e-04,1.329776e-02
1401,6.312962e-04,6.232100e-04,8.086187e-06,2.999521e-04,3.979115e-02
1501,4.335053e-04,4.282798e-04,5.225497e-06,2.999252e-04,1.815046e-02
1601,2.272812e-05,2.233024e-05,3.978797e-07,2.998924e-04,6.457501e-03
1701,7.760217e-05,7.713609e-05,4.660758e-07,2.998536e-04,1.689437e-02
1801,5.747874e-05,5.615821e-05,1.320525e-06,2.998088e-04,1.907864e-02
1901,1.939746e-05,1.857066e-05,8.268040e-07,2.997581e-04,1.475462e-03
2001,1.279615e-05,1.243241e-05,3.637369e-07,2.997015e-04,1.205591e-04
2101,3.439045e-05,3.344377e-05,9.466828e-07,2.996389e-04,7.698772e-04
2201,7.503485e-06,7.431809e-06,7.167589e-08,2.995703e-04,8.165395e-03
2301,1.553755e-05,1.525601e-05,2.815323e-07,2.994959e-04,1.095278e-02
2401,5.585469e-06,5.151924e-06,4.335445e-07,2.994154e-04,3.016000e-03
2501,1.831854e-05,1.803516e-05,2.833819e-07,2.993291e-04,4.120410e-03
2601,8.199436e-06,7.788272e-06,4.111643e-07,2.992368e-04,5.202265e-03
2701,4.509517e-06,2.575885e-06,1.933633e-06,2.991386e-04,4.380960e-03
2801,1.689295e-05,1.423925e-05,2.653704e-06,2.990344e-04,2.617081e-03
2901,5.247455e-06,4.777631e-06,4.698241e-07,2.989243e-04,3.372034e-03
3001,1.511694e-05,1.359320e-05,1.523740e-06,2.988084e-04,1.655962e-03
3101,7.698458e-06,4.812445e-06,2.886013e-06,2.986865e-04,6.790022e-03
3201,1.724590e-05,1.673875e-05,5.071523e-07,2.985587e-04,9.915880e-03
3301,3.304743e-06,3.027287e-06,2.774552e-07,2.984250e-04,3.586857e-03
3401,5.328647e-06,4.998955e-06,3.296925e-07,2.982854e-04,5.012309e-03
3501,5.239555e-06,5.052950e-06,1.866044e-07,2.981399e-04,5.439387e-03
3601,4.035088e-06,3.513225e-06,5.218629e-07,2.979885e-04,1.371892e-03
